time stamp,severity,code,description
2022-04-05 15:15:16,WARNING,00300,Last listed coil = 18003241-02 don't match with last produced coil = 18003301-07 - invalid record
2022-04-05 15:15:16,WARNING,00300,Last listed coil = 17142381-03 don't match with last produced coil = 17142681-06 - invalid record
2022-04-05 15:15:16,WARNING,00300,Last listed coil = 17154861-05 don't match with last produced coil = 17155041-06 - invalid record
2022-04-05 15:15:16,WARNING,00300,Last listed coil = 17173641-06 don't match with last produced coil = 17174041-06 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18026521-03 don't match with last produced coil = 18026521-08 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18023921-03 don't match with last produced coil = 18024481-06 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 17164541-05 don't match with last produced coil = 17164741-05 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18028321-01 don't match with last produced coil = 18028541-07 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 17156361-01 don't match with last produced coil = 17156641-02 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18033321-01 don't match with last produced coil = 18033721-03 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18079741-01 don't match with last produced coil = 18080201-01 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18073501-01 don't match with last produced coil = 18073541-07 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 17177321-02 don't match with last produced coil = 17177601-06 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18023721-06 don't match with last produced coil = 18023881-06 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18001201-01 don't match with last produced coil = 18001641-07 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 17171801-01 don't match with last produced coil = 17172041-07 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18027461-02 don't match with last produced coil = 18027561-07 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18024901-04 don't match with last produced coil = 18025041-06 - invalid record
2022-04-05 15:15:17,WARNING,00300,Last listed coil = 18004301-06 don't match with last produced coil = 18004401-06 - invalid record
